layer_idx,layer_name,mean_norm,k_value,spectral_norm_down_proj,k_spectral_ratio_down_proj,spectral_norm_up_proj,k_spectral_ratio_up_proj,spectral_norm_o_proj,k_spectral_ratio_o_proj
21,model.layers.21,354.6278381347656,5.923642277288479,2.4846267700195312,2.3841175458485115,1.670077919960022,3.5469256892099255,3.0500264167785645,1.9421609743121588
22,model.layers.22,364.6736755371094,6.091446213551022,2.2750425338745117,2.6775087159258435,1.6375840902328491,3.7197761323419276,2.66379451751709,2.28675529343338
23,model.layers.23,383.4267883300781,6.40469497697431,2.184568166732788,2.9317899411457087,1.5955322980880737,4.014143107381189,4.018351078033447,1.5938614751672524
24,model.layers.24,400.2983703613281,6.686514974893011,2.1847476959228516,3.060543323776608,1.6027703285217285,4.171848490020485,3.1845932006835938,2.099644932187165
25,model.layers.25,424.2206726074219,7.086108987873973,2.326388359069824,3.0459699302773595,1.5825247764587402,4.477723883559508,3.4322969913482666,2.064538414285188
26,model.layers.26,399.2472229003906,6.668956788902808,2.2624123096466064,2.9477194587685536,1.5522491931915283,4.296318412117184,3.542884588241577,1.8823522535947972
27,model.layers.27,430.6310119628906,7.19318619145039,2.35005784034729,3.060854957675163,1.5321375131607056,4.694869833590386,2.543245315551758,2.8283493328247125
28,model.layers.28,442.1924743652344,7.386306866448776,2.6668667793273926,2.769657233613922,1.5881588459014893,4.6508615215098805,4.809624671936035,1.5357345677195098
29,model.layers.29,477.7106628417969,7.97959656411913,2.578864812850952,3.0942283303705373,1.651307225227356,4.832290710179918,3.7849721908569336,2.108231226478976
30,model.layers.30,497.9347534179688,8.317416286865196,2.4677317142486572,3.3704702333890353,1.7091618776321411,4.8663712874219245,4.135566711425781,2.0111914200019463
31,model.layers.31,537.28515625,8.974718632530374,2.4606595039367676,3.6472818031799497,1.8269447088241577,4.912419401190639,5.378887176513672,1.6685084364136713
32,model.layers.32,567.1536865234375,9.473637413466484,2.6552374362945557,3.5679059371380215,1.743528127670288,5.433601708579953,4.577118873596191,2.0697818158310475
33,model.layers.33,590.4392700195312,9.862595786205326,2.648329257965088,3.724082176165476,1.765750765800476,5.585497102550749,4.632531642913818,2.1289861670544026
34,model.layers.34,613.2965087890625,10.244399162469934,2.6626806259155273,3.847400646837821,1.7843546867370605,5.741234766056089,4.896663188934326,2.0921184012861316
35,model.layers.35,640.8272094726562,10.704267240933465,2.5286080837249756,4.233264660439057,1.766487956047058,6.0596321669165745,4.830427646636963,2.216008193060501
36,model.layers.36,681.431396484375,11.382512581408232,2.4910125732421875,4.569432006757507,1.922612190246582,5.920337257379182,4.393703937530518,2.5906416871150806
37,model.layers.37,701.6384887695312,11.720048367631348,2.284311532974243,5.130669875124908,2.0586025714874268,5.693205930061149,4.028500556945801,2.9092830451330203
38,model.layers.38,765.754638671875,12.79103348322782,1.991740345954895,6.422038650372093,2.2080931663513184,5.792796100340226,5.563117027282715,2.299256589515888
39,model.layers.39,838.24560546875,14.00191009657564,1.8870186805725098,7.420122673257028,2.3211395740509033,6.0323430150903,4.246085166931152,3.2976046278166122
40,model.layers.40,1004.5131225585938,16.77921404077107,1.6924971342086792,9.913880326075784,2.3664743900299072,7.090384798357786,3.168994903564453,5.294806256046035
41,model.layers.41,1514.65087890625,25.300467185014345,1.6160061359405518,15.656170247329479,2.8970465660095215,8.733193136023342,2.4785759449005127,10.207662685126994
