2026-04-19 04:35:01,339 | INFO     | __main__ |   model.layers.4                  PC0=0.7882  PC1=0.0277  PC2=0.0139  PC3=0.0116  PC4=0.0110
2026-04-19 04:35:01,339 | INFO     | __main__ |   model.layers.5                  PC0=0.7381  PC1=0.0311  PC2=0.0171  PC3=0.0142  PC4=0.0138
2026-04-19 04:35:01,339 | INFO     | __main__ |   model.layers.6                  PC0=0.7572  PC1=0.0249  PC2=0.0154  PC3=0.0131  PC4=0.0125
2026-04-19 04:35:01,339 | INFO     | __main__ |   model.layers.7                  PC0=0.7643  PC1=0.0234  PC2=0.0151  PC3=0.0129  PC4=0.0122
2026-04-19 04:35:01,339 | INFO     | __main__ |   model.layers.8                  PC0=0.7361  PC1=0.0237  PC2=0.0176  PC3=0.0140  PC4=0.0135
2026-04-19 04:35:01,339 | INFO     | __main__ |   model.layers.9                  PC0=0.7556  PC1=0.0212  PC2=0.0153  PC3=0.0129  PC4=0.0127
2026-04-19 04:35:01,339 | INFO     | __main__ |   model.layers.10                 PC0=0.7428  PC1=0.0213  PC2=0.0155  PC3=0.0144  PC4=0.0130
2026-04-19 04:35:01,339 | INFO     | __main__ |   model.layers.11                 PC0=0.7676  PC1=0.0197  PC2=0.0142  PC3=0.0128  PC4=0.0120
2026-04-19 04:35:01,339 | INFO     | __main__ |   model.layers.12                 PC0=0.7658  PC1=0.0199  PC2=0.0144  PC3=0.0127  PC4=0.0121
2026-04-19 04:35:01,339 | INFO     | __main__ |   model.layers.13                 PC0=0.7711  PC1=0.0202  PC2=0.0142  PC3=0.0139  PC4=0.0113
2026-04-19 04:35:01,339 | INFO     | __main__ |   model.layers.14                 PC0=0.7828  PC1=0.0208  PC2=0.0154  PC3=0.0132  PC4=0.0104
2026-04-19 04:35:01,340 | INFO     | __main__ |   model.layers.15                 PC0=0.8023  PC1=0.0194  PC2=0.0132  PC3=0.0121  PC4=0.0097
2026-04-19 04:35:01,340 | INFO     | __main__ |   model.layers.16                 PC0=0.8105  PC1=0.0184  PC2=0.0130  PC3=0.0120  PC4=0.0093
2026-04-19 04:35:01,340 | INFO     | __main__ |   model.layers.17                 PC0=0.8196  PC1=0.0168  PC2=0.0132  PC3=0.0110  PC4=0.0086
2026-04-19 04:35:01,340 | INFO     | __main__ |   model.layers.18                 PC0=0.8316  PC1=0.0158  PC2=0.0119  PC3=0.0101  PC4=0.0079
2026-04-19 04:35:01,340 | INFO     | __main__ |   model.layers.19                 PC0=0.8432  PC1=0.0145  PC2=0.0119  PC3=0.0093  PC4=0.0074
2026-04-19 04:35:01,340 | INFO     | __main__ |   model.layers.20                 PC0=0.8501  PC1=0.0144  PC2=0.0118  PC3=0.0088  PC4=0.0073
2026-04-19 04:35:01,340 | INFO     | __main__ |   model.layers.21                 PC0=0.8593  PC1=0.0143  PC2=0.0113  PC3=0.0083  PC4=0.0070
2026-04-19 04:35:01,340 | INFO     | __main__ |   model.layers.22                 PC0=0.8748  PC1=0.0122  PC2=0.0103  PC3=0.0076  PC4=0.0064
2026-04-19 04:35:01,340 | INFO     | __main__ |   model.layers.23                 PC0=0.8926  PC1=0.0114  PC2=0.0087  PC3=0.0066  PC4=0.0056
2026-04-19 04:35:01,340 | INFO     | __main__ |   model.layers.24                 PC0=0.9037  PC1=0.0102  PC2=0.0083  PC3=0.0061  PC4=0.0049
2026-04-19 04:35:01,340 | INFO     | __main__ |   model.layers.25                 PC0=0.9034  PC1=0.0108  PC2=0.0082  PC3=0.0064  PC4=0.0048
2026-04-19 04:35:01,340 | INFO     | __main__ |   model.layers.26                 PC0=0.9088  PC1=0.0097  PC2=0.0076  PC3=0.0056  PC4=0.0045
