2026-04-21 07:03:02,580 | INFO     | __main__ | Model=qwen  Behavior=formality
2026-04-21 07:03:02,580 | INFO     | __main__ | ------------------------------------------------------------
2026-04-21 07:03:02,581 | INFO     | __main__ | Loaded 200 contrastive pairs for behavior 'formality'.
2026-04-21 07:03:02,582 | INFO     | __main__ | Split: 160 train / 40 test  (seed=42).
2026-04-21 07:03:02,587 | INFO     | activation_baking.extractor | ActivationExtractor initialised: device=cuda, batch_size=4.
2026-04-21 07:03:02,587 | INFO     | __main__ | Extracting contrastive diffs for 160 train pairs…
2026-04-21 07:03:02,587 | INFO     | activation_baking.extractor | Extracting contrastive diffs for 160 pairs across 28 layers.
2026-04-21 07:03:07,669 | INFO     | PCADirector | PCADirector.fit complete: 28 layers.
2026-04-21 07:03:07,670 | INFO     | __main__ | Explained variance ratios (top-5 components per layer):
2026-04-21 07:03:07,670 | INFO     | __main__ |   model.layers.0                  PC0=0.1282  PC1=0.1043  PC2=0.0643  PC3=0.0330  PC4=0.0282
2026-04-21 07:03:07,670 | INFO     | __main__ |   model.layers.1                  PC0=0.1053  PC1=0.0965  PC2=0.0909  PC3=0.0369  PC4=0.0355
2026-04-21 07:03:07,670 | INFO     | __main__ |   model.layers.2                  PC0=0.2275  PC1=0.0769  PC2=0.0557  PC3=0.0309  PC4=0.0272
2026-04-21 07:03:07,670 | INFO     | __main__ |   model.layers.3                  PC0=0.1727  PC1=0.0881  PC2=0.0505  PC3=0.0335  PC4=0.0263
2026-04-21 07:03:07,670 | INFO     | __main__ |   model.layers.4                  PC0=0.1464  PC1=0.0754  PC2=0.0583  PC3=0.0352  PC4=0.0265
2026-04-21 07:03:07,670 | INFO     | __main__ |   model.layers.5                  PC0=0.1527  PC1=0.0832  PC2=0.0575  PC3=0.0401  PC4=0.0245
2026-04-21 07:03:07,670 | INFO     | __main__ |   model.layers.6                  PC0=0.1472  PC1=0.0861  PC2=0.0538  PC3=0.0430  PC4=0.0253
2026-04-21 07:03:07,670 | INFO     | __main__ |   model.layers.7                  PC0=0.1510  PC1=0.0787  PC2=0.0549  PC3=0.0494  PC4=0.0221
2026-04-21 07:03:07,670 | INFO     | __main__ |   model.layers.8                  PC0=0.1536  PC1=0.0677  PC2=0.0513  PC3=0.0485  PC4=0.0247
2026-04-21 07:03:07,670 | INFO     | __main__ |   model.layers.9                  PC0=0.1585  PC1=0.0639  PC2=0.0492  PC3=0.0383  PC4=0.0224
2026-04-21 07:03:07,670 | INFO     | __main__ |   model.layers.10                 PC0=0.1539  PC1=0.0608  PC2=0.0514  PC3=0.0415  PC4=0.0250
2026-04-21 07:03:07,671 | INFO     | __main__ |   model.layers.11                 PC0=0.1646  PC1=0.0587  PC2=0.0498  PC3=0.0399  PC4=0.0246
2026-04-21 07:03:07,671 | INFO     | __main__ |   model.layers.12                 PC0=0.1637  PC1=0.0596  PC2=0.0484  PC3=0.0413  PC4=0.0254
2026-04-21 07:03:07,671 | INFO     | __main__ |   model.layers.13                 PC0=0.1443  PC1=0.0572  PC2=0.0493  PC3=0.0382  PC4=0.0270
2026-04-21 07:03:07,671 | INFO     | __main__ |   model.layers.14                 PC0=0.1441  PC1=0.0573  PC2=0.0546  PC3=0.0390  PC4=0.0274
2026-04-21 07:03:07,671 | INFO     | __main__ |   model.layers.15                 PC0=0.1449  PC1=0.0574  PC2=0.0541  PC3=0.0398  PC4=0.0283
2026-04-21 07:03:07,671 | INFO     | __main__ |   model.layers.16                 PC0=0.1406  PC1=0.0580  PC2=0.0543  PC3=0.0416  PC4=0.0294
2026-04-21 07:03:07,671 | INFO     | __main__ |   model.layers.17                 PC0=0.1446  PC1=0.0593  PC2=0.0515  PC3=0.0401  PC4=0.0296
2026-04-21 07:03:07,671 | INFO     | __main__ |   model.layers.18                 PC0=0.1405  PC1=0.0598  PC2=0.0491  PC3=0.0468  PC4=0.0332
2026-04-21 07:03:07,671 | INFO     | __main__ |   model.layers.19                 PC0=0.1264  PC1=0.0617  PC2=0.0457  PC3=0.0443  PC4=0.0360
2026-04-21 07:03:07,671 | INFO     | __main__ |   model.layers.20                 PC0=0.1152  PC1=0.0670  PC2=0.0467  PC3=0.0436  PC4=0.0383
2026-04-21 07:03:07,671 | INFO     | __main__ |   model.layers.21                 PC0=0.1045  PC1=0.0666  PC2=0.0496  PC3=0.0411  PC4=0.0375
2026-04-21 07:03:07,671 | INFO     | __main__ |   model.layers.22                 PC0=0.0958  PC1=0.0637  PC2=0.0509  PC3=0.0392  PC4=0.0340
2026-04-21 07:03:07,671 | INFO     | __main__ |   model.layers.23                 PC0=0.0908  PC1=0.0594  PC2=0.0500  PC3=0.0433  PC4=0.0301
2026-04-21 07:03:07,671 | INFO     | __main__ |   model.layers.24                 PC0=0.0858  PC1=0.0588  PC2=0.0506  PC3=0.0437  PC4=0.0291
2026-04-21 07:03:07,671 | INFO     | __main__ |   model.layers.25                 PC0=0.0811  PC1=0.0580  PC2=0.0494  PC3=0.0450  PC4=0.0283
2026-04-21 07:03:07,672 | INFO     | __main__ |   model.layers.26                 PC0=0.0798  PC1=0.0599  PC2=0.0485  PC3=0.0447  PC4=0.0277
2026-04-21 07:03:07,672 | INFO     | __main__ |   model.layers.27                 PC0=0.1223  PC1=0.0623  PC2=0.0539  PC3=0.0449  PC4=0.0362
2026-04-21 07:03:07,678 | INFO     | __main__ | Directions saved → results/pca_directions/qwen/formality/directions.pt
2026-04-21 07:03:07,751 | INFO     | __main__ | Raw contrastive diffs saved → results/pca_directions/qwen/formality/raw_diffs.pt
2026-04-21 07:03:07,753 | INFO     | __main__ | Variance explained CSV saved → results/pca_directions/qwen/formality/variance_explained.csv
2026-04-21 07:03:07,753 | INFO     | __main__ | Split indices saved → results/pca_directions/qwen/formality/split_indices.json
2026-04-21 07:03:07,951 | INFO     | __main__ | ------------------------------------------------------------
2026-04-21 07:03:07,951 | INFO     | __main__ | Model=qwen  Behavior=uncertainty_expression
