2026-04-19 04:36:40,026 | INFO     | __main__ |   model.layers.30                 PC0=0.1205  PC1=0.0752  PC2=0.0691  PC3=0.0521  PC4=0.0403
2026-04-19 04:36:40,026 | INFO     | __main__ |   model.layers.31                 PC0=0.1215  PC1=0.0737  PC2=0.0691  PC3=0.0498  PC4=0.0410
2026-04-19 04:36:40,027 | INFO     | __main__ |   model.layers.32                 PC0=0.1129  PC1=0.0734  PC2=0.0655  PC3=0.0507  PC4=0.0422
2026-04-19 04:36:40,027 | INFO     | __main__ |   model.layers.33                 PC0=0.1188  PC1=0.0701  PC2=0.0634  PC3=0.0481  PC4=0.0429
2026-04-19 04:36:40,027 | INFO     | __main__ |   model.layers.34                 PC0=0.1282  PC1=0.0690  PC2=0.0626  PC3=0.0479  PC4=0.0429
2026-04-19 04:36:40,027 | INFO     | __main__ |   model.layers.35                 PC0=0.1048  PC1=0.0696  PC2=0.0624  PC3=0.0487  PC4=0.0432
2026-04-19 04:36:40,027 | INFO     | __main__ |   model.layers.36                 PC0=0.1118  PC1=0.0681  PC2=0.0622  PC3=0.0471  PC4=0.0432
2026-04-19 04:36:40,027 | INFO     | __main__ |   model.layers.37                 PC0=0.1027  PC1=0.0658  PC2=0.0626  PC3=0.0481  PC4=0.0430
2026-04-19 04:36:40,027 | INFO     | __main__ |   model.layers.38                 PC0=0.0994  PC1=0.0659  PC2=0.0622  PC3=0.0500  PC4=0.0430
2026-04-19 04:36:40,027 | INFO     | __main__ |   model.layers.39                 PC0=0.1135  PC1=0.0653  PC2=0.0621  PC3=0.0513  PC4=0.0432
2026-04-19 04:36:40,027 | INFO     | __main__ |   model.layers.40                 PC0=0.1663  PC1=0.0693  PC2=0.0603  PC3=0.0525  PC4=0.0417
2026-04-19 04:36:40,027 | INFO     | __main__ |   model.layers.41                 PC0=0.2574  PC1=0.0745  PC2=0.0509  PC3=0.0455  PC4=0.0364
2026-04-19 04:36:40,036 | INFO     | __main__ | Directions saved → results/pca_directions/gemma/uncertainty_expression/directions.pt
2026-04-19 04:36:40,062 | INFO     | __main__ | Raw contrastive diffs saved → results/pca_directions/gemma/uncertainty_expression/raw_diffs.pt
2026-04-19 04:36:40,066 | INFO     | __main__ | Variance explained CSV saved → results/pca_directions/gemma/uncertainty_expression/variance_explained.csv
2026-04-19 04:36:40,066 | INFO     | __main__ | Split indices saved → results/pca_directions/gemma/uncertainty_expression/split_indices.json
2026-04-19 04:36:40,251 | INFO     | __main__ | Finished model 'gemma' in 9.2s  GPU mem=17.22 GiB
2026-04-19 04:36:40,545 | INFO     | __main__ | All contrastive extraction complete. Processed 1 model(s) × 1 behavior(s).
