2026-04-19 04:28:02,531 | INFO     | __main__ | Using 36 training pairs for permutation invariance test.
2026-04-19 04:28:02,531 | INFO     | __main__ | Permutation seed=42000: permuting 16/32 layers: [1, 3, 5, 6, 8, 9, 11, 14, 16, 18, 25, 27, 28, 29, 30, 31]
2026-04-19 04:28:02,532 | INFO     | activation_baking.model_utils | Creating deep copy of model for permutation experiment (seed=42000, layers=[1, 3, 5, 6, 8, 9, 11, 14, 16, 18, 25, 27, 28, 29, 30, 31]).
2026-04-19 04:28:02,855 | INFO     | activation_baking.model_utils | Permutation complete for 16 layers.
2026-04-19 04:28:02,865 | INFO     | activation_baking.extractor | ActivationExtractor initialised: device=cuda, batch_size=4.
2026-04-19 04:28:02,865 | INFO     | activation_baking.extractor | Extracting contrastive diffs for 36 pairs across 32 layers.
2026-04-19 04:28:04,522 | INFO     | PCADirector | PCADirector.fit complete: 32 layers.
2026-04-19 04:28:04,526 | INFO     | __main__ |   Permutation seed=42000: mean_cosine_sim=0.0785  n_layers_permuted=16
2026-04-19 04:28:04,744 | INFO     | __main__ | Permutation seed=42001: permuting 16/32 layers: [0, 1, 4, 5, 6, 9, 11, 14, 15, 19, 21, 22, 24, 26, 27, 29]
2026-04-19 04:28:04,744 | INFO     | activation_baking.model_utils | Creating deep copy of model for permutation experiment (seed=42001, layers=[0, 1, 4, 5, 6, 9, 11, 14, 15, 19, 21, 22, 24, 26, 27, 29]).
2026-04-19 04:28:05,218 | INFO     | activation_baking.model_utils | Permutation complete for 16 layers.
2026-04-19 04:28:05,228 | INFO     | activation_baking.extractor | ActivationExtractor initialised: device=cuda, batch_size=4.
2026-04-19 04:28:05,228 | INFO     | activation_baking.extractor | Extracting contrastive diffs for 36 pairs across 32 layers.
2026-04-19 04:28:06,889 | INFO     | PCADirector | PCADirector.fit complete: 32 layers.
2026-04-19 04:28:06,894 | INFO     | __main__ |   Permutation seed=42001: mean_cosine_sim=0.0448  n_layers_permuted=16
2026-04-19 04:28:07,111 | INFO     | __main__ | Permutation seed=42002: permuting 16/32 layers: [1, 4, 6, 8, 9, 10, 13, 15, 21, 22, 23, 27, 28, 29, 30, 31]
2026-04-19 04:28:07,111 | INFO     | activation_baking.model_utils | Creating deep copy of model for permutation experiment (seed=42002, layers=[1, 4, 6, 8, 9, 10, 13, 15, 21, 22, 23, 27, 28, 29, 30, 31]).
2026-04-19 04:28:07,584 | INFO     | activation_baking.model_utils | Permutation complete for 16 layers.
2026-04-19 04:28:07,595 | INFO     | activation_baking.extractor | ActivationExtractor initialised: device=cuda, batch_size=4.
2026-04-19 04:28:07,595 | INFO     | activation_baking.extractor | Extracting contrastive diffs for 36 pairs across 32 layers.
2026-04-19 04:28:09,267 | INFO     | PCADirector | PCADirector.fit complete: 32 layers.
2026-04-19 04:28:09,271 | INFO     | __main__ |   Permutation seed=42002: mean_cosine_sim=0.0817  n_layers_permuted=16
2026-04-19 04:28:09,488 | INFO     | __main__ | Permutation seed=42003: permuting 16/32 layers: [0, 3, 4, 9, 11, 12, 16, 17, 19, 21, 22, 24, 25, 27, 28, 31]
2026-04-19 04:28:09,488 | INFO     | activation_baking.model_utils | Creating deep copy of model for permutation experiment (seed=42003, layers=[0, 3, 4, 9, 11, 12, 16, 17, 19, 21, 22, 24, 25, 27, 28, 31]).
2026-04-19 04:28:09,961 | INFO     | activation_baking.model_utils | Permutation complete for 16 layers.
2026-04-19 04:28:09,972 | INFO     | activation_baking.extractor | ActivationExtractor initialised: device=cuda, batch_size=4.
2026-04-19 04:28:09,972 | INFO     | activation_baking.extractor | Extracting contrastive diffs for 36 pairs across 32 layers.
2026-04-19 04:28:11,638 | INFO     | PCADirector | PCADirector.fit complete: 32 layers.
2026-04-19 04:28:11,642 | INFO     | __main__ |   Permutation seed=42003: mean_cosine_sim=0.0524  n_layers_permuted=16
